"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Prepaid","0","Offering Information","1","0","Get Offering Details","0"
"0","Prepaid","0","Account Management","1","0","Get Profile Info by Service Account ID","0"
"0","Prepaid","0","Account Management","2","0","Update Service Account Status","0"
"0","Prepaid","0","Bundle Balance","1","0","Get Bundle Balance","0"
"0","Prepaid","0","Apply Adjustment","1","0","Adjustments","0"
"0","Prepaid","1","Usage Management","0","0","Get Usage Details by MSISDN","0"
"0","Prepaid","0","Subscriber Profile","1","0","ChangeCreditLimit","0"
"0","Prepaid","1","Change Offering","0","0","Add & Remove Chargeoffers","0"
"0","Prepaid","0","ActivateSIMCard","1","0","SIM Swap","0"
"0","Prepaid","1","KPNPAY_TRANSACTION_REFUND","0","0","Refund KPN PAY","0"
"0","Prepaid","0","Balance Transfer","1","0","Balance Transfer between Service Accounts","0"
"0","Prepaid","0","Topup History","1","0","Get Topup Balance History by MSISDN","0"
"0","Prepaid","0","Main Balance Topup","1","0","Topup with API","0"
"0","Prepaid","0","Account Hierarchy","1","0","Get Account Hierarchy by MSISDN ","0"
"0","Prepaid","0","Account Management","1","0","Get Prepaid Account by MSISDN","0"
"0","Prepaid","1","Adding Supplymentary Offering","0","0","Adding Products for SA Account","0"
"0","Prepaid","0","BadPinCounter","1","0","Increment Bad Pin Counter","0"
"0","Prepaid","1","TopupBalance_WithVoucher","0","0","Voucher redemption","0"
"0","Prepaid","1","Usage Management","0","0","Get KPN Pay Usage by MSISDN","0"
"0","Prepaid","0","Account Management","1","0","Change Customer Account Address","0"
"0","Prepaid","0","Account Hierarchy","1","0","Get Billing Account Hierarchy","0"
"0","Prepaid","0","COIN Management","1","0","Activate COIN Event","0"
"0","Prepaid","0","Profile Management","1","0","Update Service Account Profile","0"
"0","Prepaid","0","SIM PreActivation","1","0","Create Account via API","0"
"0","Prepaid","1","KPNPAY_TRANSACTION","0","0","Create KPN PAY","0"
