"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Prepaid","Change Offering","Add & Remove Chargeoffers","0","0","1","0","0"
"Prepaid","Account Hierarchy","Get Account Hierarchy by MSISDN ","0","0","1","0","0"
"Prepaid","Account Hierarchy","Get Billing Account Hierarchy","0","0","1","0","0"
"Prepaid","Adding Supplymentary Offering","Adding Products for SA Account","0","0","1","0","0"
"Prepaid","Bundle Balance","Get Bundle Balance","0","0","1","0","0"
"Prepaid","KPNPAY_TRANSACTION","Create KPN PAY","0","0","1","0","0"
"Prepaid","Usage Management","Get Usage Details by MSISDN","1","0","0","0","0"
"Prepaid","Account Management","Update Service Account Status","0","0","2","0","0"
"Prepaid","TopupBalance_WithVoucher","Voucher redemption","1","0","0","0","0"
"Prepaid","Subscriber Profile","ChangeCreditLimit","0","0","1","0","0"
"Prepaid","Usage Management","Get KPN Pay Usage by MSISDN","1","0","0","0","0"
"Prepaid","BadPinCounter","Increment Bad Pin Counter","0","0","1","0","0"
"Prepaid","Account Management","Change Customer Account Address","0","0","1","0","0"
"Prepaid","Account Management","Get Profile Info by Service Account ID","0","0","1","0","0"
"Prepaid","KPNPAY_TRANSACTION_REFUND","Refund KPN PAY","0","0","1","0","0"
"Prepaid","Balance Transfer","Balance Transfer between Service Accounts","0","0","1","0","0"
"Prepaid","Main Balance Topup","Topup with API","0","0","1","0","0"
"Prepaid","SIM PreActivation","Create Account via API","0","0","1","0","0"
"Prepaid","Offering Information","Get Offering Details","0","0","1","0","0"
"Prepaid","Account Management","Get Prepaid Account by MSISDN","0","0","1","0","0"
"Prepaid","COIN Management","Activate COIN Event","0","0","1","0","0"
"Prepaid","Apply Adjustment","Adjustments","0","0","1","0","0"
"Prepaid","Topup History","Get Topup Balance History by MSISDN","0","0","1","0","0"
"Prepaid","Profile Management","Update Service Account Profile","0","0","1","0","0"
"Prepaid","ActivateSIMCard","SIM Swap","0","0","1","0","0"
